                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.46971,                0.54886,                 1.0132,                0.72739,                0.66906,                0.71195,                0.60267,                0.60449,                 1.3311,                 1.1029,             0.00018179,             0.00018179,             0.00018179
                     36,                0.46539,                0.54253,                 1.0099,                0.72654,                0.65694,                0.71572,                0.60618,                0.59767,                 1.3106,                 1.0933,             0.00017912,             0.00017912,             0.00017912
                     37,                0.46262,                0.53803,                 1.0109,                0.72942,                0.66872,                0.71711,                0.60317,                0.61698,                 1.3329,                 1.1234,             0.00017644,             0.00017644,             0.00017644
                     38,                 0.4587,                0.52439,                 1.0063,                0.71676,                0.68077,                0.71438,                0.61147,                 0.5866,                 1.3288,                 1.0808,             0.00017377,             0.00017377,             0.00017377
                     39,                0.46249,                0.52136,                 1.0064,                0.70208,                0.68395,                0.70534,                0.59503,                0.61503,                 1.3328,                 1.0979,              0.0001711,              0.0001711,              0.0001711
                     40,                 0.4577,                0.51758,                 1.0054,                0.72993,                 0.6677,                0.71688,                0.60474,                0.61727,                 1.3375,                 1.1087,             0.00016843,             0.00016843,             0.00016843
                     41,                0.45232,                0.51068,                 1.0043,                0.74289,                0.66826,                0.72397,                0.61187,                0.59516,                  1.281,                 1.0935,             0.00016575,             0.00016575,             0.00016575
                     42,                0.44609,                0.50436,                0.99825,                0.73415,                0.65922,                0.70796,                0.60398,                0.59684,                 1.3337,                 1.0967,             0.00016308,             0.00016308,             0.00016308
                     43,                0.45014,                0.49383,                0.99658,                 0.7136,                0.66882,                0.70728,                0.60395,                 0.5932,                 1.3488,                 1.0796,             0.00016041,             0.00016041,             0.00016041
                     44,                0.44269,                0.49384,                0.99773,                0.73174,                 0.6803,                 0.7264,                0.61875,                0.59435,                 1.2582,                 1.0915,             0.00015773,             0.00015773,             0.00015773
                     45,                0.43774,                0.47619,                0.99358,                0.75371,                0.66693,                0.72444,                0.61571,                0.59688,                 1.2719,                 1.0876,             0.00015506,             0.00015506,             0.00015506
                     46,                0.43873,                0.47831,                0.99222,                0.73295,                0.66477,                0.71884,                0.61417,                0.59786,                 1.2942,                 1.0944,             0.00015239,             0.00015239,             0.00015239
                     47,                0.43578,                0.47776,                0.99305,                0.73467,                0.65385,                0.71656,                0.61702,                0.58412,                 1.3164,                 1.0853,             0.00014971,             0.00014971,             0.00014971
                     48,                0.42988,                0.46239,                  0.991,                0.75409,                0.65828,                0.71504,                0.60913,                0.60425,                  1.372,                 1.1024,             0.00014704,             0.00014704,             0.00014704
                     49,                 0.4274,                0.46278,                0.98802,                0.73927,                0.67596,                0.72216,                0.61767,                0.58704,                 1.3396,                 1.0854,             0.00014437,             0.00014437,             0.00014437
                     50,                0.42643,                0.45409,                0.98685,                0.75054,                0.65099,                0.70942,                0.60471,                0.59132,                 1.3495,                 1.0928,              0.0001417,              0.0001417,              0.0001417
                     51,                0.42409,                0.44959,                0.98537,                 0.7248,                0.67636,                0.71213,                0.60613,                0.59508,                 1.3422,                 1.0942,             0.00013902,             0.00013902,             0.00013902
                     52,                0.42436,                0.45302,                0.98688,                0.73568,                0.69031,                0.72715,                0.62281,                0.59151,                 1.2809,                 1.1004,             0.00013635,             0.00013635,             0.00013635
                     53,                0.42245,                0.45048,                0.98532,                0.73339,                0.68052,                0.71861,                0.61017,                0.60198,                 1.3174,                 1.1015,             0.00013368,             0.00013368,             0.00013368
                     54,                0.41916,                0.44875,                0.98378,                0.72051,                0.68067,                0.71952,                0.61483,                0.59411,                 1.3062,                  1.092,               0.000131,               0.000131,               0.000131
                     55,                0.42013,                0.44102,                0.98192,                0.76053,                0.66296,                 0.7171,                0.61253,                0.59953,                 1.3328,                 1.1006,             0.00012833,             0.00012833,             0.00012833
                     56,                0.41425,                0.43308,                0.97848,                0.73638,                0.67226,                0.71385,                0.60832,                0.59984,                 1.3191,                 1.1162,             0.00012566,             0.00012566,             0.00012566
